,,,,,,,,,,,,,,,比例名簿順,把握
やまうち たかし,39,青森3区,,,山内,崇,やまうち,たかし,62,希望,,新,0,比例,,
たかやなぎ ひろあき,40,青森3区,,,高柳,博明,たかやなぎ,ひろあき,47,共産,,新,0,,,
たかはし ひなこ,41,岩手1区,,,高橋,比奈子,たかはし,ひなこ,59,自民,公明,前,2,比例,,
よしだ きょうこ,42,岩手1区,,,吉田,恭子,よしだ,きょうこ,36,共産,,新,0,比例,,
しな たけし,43,岩手1区,,,階,猛,しな,たけし,51,希望,,前,4,比例,,
はた こうじ,44,岩手2区,,,畑,浩治,はた,こうじ,54,希望,,元,2,比例,,
すずき しゅんいち,45,岩手2区,,,鈴木,俊一,すずき,しゅんいち,64,自民,公明,前,8,比例,,
おざわ いちろう,46,岩手3区,,,小沢,一郎,おざわ,いちろう,75,無所,,前,16,,,
ふじわら たかし,47,岩手3区,,,藤原,崇,ふじわら,たかし,34,自民,公明,前,2,比例,,
どい とおる,48,宮城1区,,,土井,亨,どい,とおる,59,自民,公明/こ,前,3,比例,,
おかもと あきこ,49,宮城1区,,,岡本,章子,おかもと,あきこ,53,立憲,,新,0,比例,,
はたけやま まさき,50,宮城1区,,,畠山,昌樹,はたけやま,まさき,43,維新,,新,0,比例,,
いとう ゆうた,51,宮城1区,,,伊藤,優太,いとう,ゆうた,32,希望,,新,0,比例,,
ゆい てつし,52,宮城1区,,,油井,哲史,ゆい,てつし,37,諸派,,新,0,,,
いまどめ なおと,53,宮城1区,,,今留,尚人,いまどめ,なおと,52,無所,,新,0,,,
あきば けんや,54,宮城2区,,,秋葉,賢也,あきば,けんや,55,自民,公明/こ,前,5,比例,,
かまた さゆり,55,宮城2区,,,鎌田,さゆり,かまた,さゆり,52,無所,,元,2,,,
いちじょう よしひろ,56,宮城3区,,,一條,芳弘,いちじょう,よしひろ,44,希望,,新,0,比例,,
よしだ ごう,57,宮城3区,,,吉田,剛,よしだ,ごう,35,共産,,新,0,,,
にしむら あきひろ,58,宮城3区,,,西村,明宏,にしむら,あきひろ,57,自民,公明/こ,前,4,比例,,
いとう しんたろう,59,宮城4区,,,伊藤,信太郎,いとう,しんたろう,64,自民,公明/こ,前,5,比例,,
ばんどう たけひこ,60,宮城4区,,,坂東,毅彦,ばんどう,たけひこ,58,希望,,新,0,比例,,
たかむら なおや,61,宮城4区,,,高村,直也,たかむら,なおや,34,共産,,新,0,,,
かつぬま しげあき,62,宮城5区,,,勝沼,栄明,かつぬま,しげあき,42,自民,公明/こ,前,2,比例,,
あずみ じゅん,63,宮城5区,,,安住,淳,あずみ,じゅん,55,無所,,前,7,,,
おのでら いつのり,64,宮城6区,,,小野寺,五典,おのでら,いつのり,57,自民,公明/こ,前,6,比例,,
よこた ゆうし,65,宮城6区,,,横田,有史,よこた,ゆうし,73,共産,,新,0,,,
とがし ひろゆき,66,秋田1区,,,冨樫,博之,とがし,ひろゆき,62,自民,公明,前,2,比例,,
まつうら だいご,67,秋田1区,,,松浦,大悟,まつうら,だいご,48,希望,,新,0,比例,,
さいとう だいご,68,秋田1区,,,斉藤,大悟,さいとう,だいご,38,共産,,新,0,,,
かねだ かつとし,69,秋田2区,,,金田,勝年,かねだ,かつとし,68,自民,公明,前,3,比例,,
ふじもと ゆり,70,秋田2区,,,藤本,友里,ふじもと,ゆり,38,共産,,新,0,,,
みどりかわ たかし,71,秋田2区,,,緑川,貴士,みどりかわ,たかし,32,希望,,新,0,比例,,
むらおか としひで,72,秋田3区,,,村岡,敏英,むらおか,としひで,57,希望,,前,2,比例,,
みのりかわ のぶひで,73,秋田3区,,,御法川,信英,みのりかわ,のぶひで,53,自民,公明,前,4,比例,,
とみおか あきら,74,秋田3区,,,冨岡,昭,とみおか,あきら,67,共産,,新,0,,,
えんどう としあき,75,山形1区,,,遠藤,利明,えんどう,としあき,67,自民,公明,前,7,比例,,
あらい かん,76,山形1区,,,荒井,寛,あらい,かん,44,希望,,新,0,比例,,
いしかわ しょう,77,山形1区,,,石川,渉,いしかわ,しょう,43,共産,,新,0,,,
すずき のりかず,78,山形2区,,,鈴木,憲和,すずき,のりかず,35,自民,公明,前,2,比例,,
こんどう ようすけ,79,山形2区,,,近藤,洋介,こんどう,ようすけ,52,希望,,前,5,比例,,
いわもと こうじ,80,山形2区,,,岩本,康嗣,いわもと,こうじ,52,共産,,新,0,,,
しろとり りょうた,81,山形3区,,,城取,良太,しろとり,りょうた,40,諸派,,新,0,,,
かとう あゆこ,82,山形3区,,,加藤,鮎子,かとう,あゆこ,38,自民,公明,前,1,比例,,
かとう たいち,83,山形3区,,,加藤,太一,かとう,たいち,66,共産,,新,0,,,
あべ じゅいち,84,山形3区,,,阿部,寿一,あべ,じゅいち,58,希望,,元,1,比例,,
かねこ えみ,85,福島1区,,,金子,恵美,かねこ,えみ,52,無所,,前,1,,,
かめおか よしたみ,86,福島1区,,,亀岡,偉民,かめおか,よしたみ,62,自民,公明,前,3,比例,,
ねもと たくみ,87,福島2区,,,根本,匠,ねもと,たくみ,66,自民,公明,前,7,比例,,
たいら よしひこ,88,福島2区,,,平,善彦,たいら,よしひこ,65,共産,,新,0,,,
おかべ みつのり,89,福島2区,,,岡部,光規,おかべ,みつのり,49,希望,,新,0,比例,,
にしむら えみ,90,福島2区,,,西村,恵美,にしむら,えみ,54,維新,,新,0,比例,,
はしもと けんじ,91,福島3区,,,橋本,健二,はしもと,けんじ,69,共産,,新,0,,,
うえすぎ けんたろう,92,福島3区,,,上杉,謙太郎,うえすぎ,けんたろう,42,自民,公明,新,0,比例,,
げんば こういちろう,93,福島3区,,,玄葉,光一郎,げんば,こういちろう,53,無所,,前,8,,,
わたなべ としお,94,福島4区,,,渡辺,敏雄,わたなべ,としお,68,社民,,新,0,比例,,
おぐま しんじ,95,福島4区,,,小熊,慎司,おぐま,しんじ,49,希望,,前,2,比例,,
ふるかわ よしのり,96,福島4区,,,古川,芳憲,ふるかわ,よしのり,66,共産,,新,0,,,
かんけ いちろう,97,福島4区,,,菅家,一郎,かんけ,いちろう,62,自民,公明,前,2,比例,,
よしの まさよし,98,福島5区,,,吉野,正芳,よしの,まさよし,69,自民,公明,前,6,比例,,
よしだ いずみ,99,福島5区,,,吉田,泉,よしだ,いずみ,68,希望,,前,5,比例,,
くまがい とも,100,福島5区,,,熊谷,智,くまがい,とも,37,共産,,新,0,,,
えんどう ようこ,101,福島5区,,,遠藤,陽子,えんどう,ようこ,67,社民,,新,0,比例,,
かわべ けんいち,102,茨城1区,,,川辺,賢一,かわべ,けんいち,30,諸派,,新,0,,,
ふくしま のぶゆき,103,茨城1区,,,福島,伸享,ふくしま,のぶゆき,47,希望,,前,2,比例,,
たどころ よしのり,104,茨城1区,,,田所,嘉徳,たどころ,よしのり,63,自民,公明,前,2,比例,,
おおうち くみこ,105,茨城1区,,,大内,久美子,おおうち,くみこ,68,共産,,新,0,比例,,
ほしの ふみお,106,茨城2区,,,星野,文雄,ほしの,ふみお,69,共産,,新,0,,,
ぬかが ふくしろう,107,茨城2区,,,額賀,福志郎,ぬかが,ふくしろう,73,自民,公明,前,11,,,
いしづ まさお,108,茨城2区,,,石津,政雄,いしづ,まさお,70,希望,,元,1,比例,,
はやし みやこ,109,茨城3区,,,林,京,はやし,みやこ,67,共産,,新,0,,,
はなし やすひろ,110,茨城3区,,,葉梨,康弘,はなし,やすひろ,58,自民,公明,前,4,比例,,
ひぐち まい,111,茨城3区,,,樋口,舞,ひぐち,まい,44,希望,維新,新,0,比例,,
ほりえ かくじ,112,茨城4区,,,堀江,鶴治,ほりえ,かくじ,75,共産,,新,0,,,
おおくま としあき,113,茨城4区,,,大熊,利昭,おおくま,としあき,54,希望,,元,1,比例,,
かじやま ひろし,114,茨城4区,,,梶山,弘志,かじやま,ひろし,62,自民,公明,前,6,比例,,
いしかわ あきまさ,115,茨城5区,,,石川,昭政,いしかわ,あきまさ,45,自民,,前,2,比例,,
かわさき あつこ,116,茨城5区,,,川崎,篤子,かわさき,あつこ,64,共産,,新,0,,,
あさの さとし,117,茨城5区,,,浅野,哲,あさの,さとし,35,希望,,新,0,比例,,
くにみつ あやの,118,茨城6区,,,国光,文乃,くにみつ,あやの,38,自民,公明,新,0,比例,,
あおやま やまと,119,茨城6区,,,青山,大人,あおやま,やまと,38,希望,,新,0,比例,,
ふるさわ よしゆき,120,茨城6区,,,古沢,喜幸,ふるさわ,よしゆき,71,共産,,新,0,,,
いしじま いわお,121,茨城7区,,,石嶋,巌,いしじま,いわお,63,共産,,新,0,,,
ながおか けいこ,122,茨城7区,,,永岡,桂子,ながおか,けいこ,63,自民,,前,4,比例,,
なかむら きしろう,123,茨城7区,,,中村,喜四郎,なかむら,きしろう,68,無所,公明,前,13,,,
わたなべ のりよし,124,栃木1区,,,渡辺,典喜,わたなべ,のりよし,34,無所,,新,0,,,
かしわくら ゆうじ,125,栃木1区,,,柏倉,祐司,かしわくら,ゆうじ,48,希望,,元,1,比例,,
ふなだ はじめ,126,栃木1区,,,船田,元,ふなだ,はじめ,63,自民,公明,前,11,比例,,
あおき ひろし,127,栃木1区,,,青木,弘,あおき,ひろし,56,共産,,新,0,,,
にしかわ こうや,128,栃木2区,,,西川,公也,にしかわ,こうや,74,自民,公明,前,6,,,
ふくだ あきお,129,栃木2区,,,福田,昭夫,ふくだ,あきお,69,無所,社民,前,4,,,
まき しょうぞう,130,栃木3区,,,槙,昌三,まき,しょうぞう,74,共産,,新,0,,,
いしわた つよし,131,栃木3区,,,石渡,剛,いしわた,つよし,48,諸派,,新,0,,,
わたなべ みゆき,132,栃木3区,,,渡辺,美由紀,わたなべ,みゆき,58,希望,,新,0,比例,,
やな かずお,133,栃木3区,,,簗,和生,やな,かずお,38,自民,公明,前,2,比例,,
さとう つとむ,134,栃木4区,,,佐藤,勉,さとう,つとむ,65,自民,公明,前,7,比例,,
やまざき としひこ,135,栃木4区,,,山崎,寿彦,やまざき,としひこ,64,共産,,新,0,,,
ふじおか たかお,136,栃木4区,,,藤岡,隆雄,ふじおか,たかお,40,希望,,新,0,比例,,
もてぎ としみつ,137,栃木5区,,,茂木,敏充,もてぎ,としみつ,62,自民,公明,前,8,比例,,
おおまみうだ みのる,138,栃木5区,,,大豆生田,実,おおまみうだ,みのる,51,希望,,新,0,比例,,
かわかみ ひとし,139,栃木5区,,,川上,均,かわかみ,ひとし,61,共産,,新,0,,,
みやざき たけし,140,群馬1区,,,宮崎,岳志,みやざき,たけし,47,希望,,前,2,比例,,
おみ あさこ,141,群馬1区,,,尾身,朝子,おみ,あさこ,56,自民,公明,前,1,比例,,
たなはし せつこ,142,群馬1区,,,店橋,世津子,たなはし,せつこ,56,共産,,新,0,比例,,
いの としろう,143,群馬2区,,,井野,俊郎,いの,としろう,37,自民,公明,前,2,比例,,
はせだ なおゆき,144,群馬2区,,,長谷田,直之,はせだ,なおゆき,61,共産,,新,0,,,
いしぜき たかし,145,群馬2区,,,石関,貴史,いしぜき,たかし,45,希望,,前,4,比例,,
はせがわ かいち,146,群馬3区,,,長谷川,嘉一,はせがわ,かいち,64,立憲,,新,0,比例,,
ささがわ ひろよし,147,群馬3区,,,笹川,博義,ささがわ,ひろよし,51,自民,公明,前,2,比例,,
はぎわら さだお,148,群馬4区,,,萩原,貞夫,はぎわら,さだお,68,共産,,新,0,,,
ふわ ひろき,149,群馬4区,,,不破,弘樹,ふわ,ひろき,51,希望,,新,0,比例,,
ふくだ たつお,150,群馬4区,,,福田,達夫,ふくだ,たつお,50,自民,公明,前,2,比例,,
おぶち ゆうこ,151,群馬5区,,,小渕,優子,おぶち,ゆうこ,43,自民,公明,前,6,比例,,
いとう たつや,152,群馬5区,,,伊藤,達也,いとう,たつや,34,共産,,新,0,,,
たかはし のぶゆき,153,群馬5区,,,高橋,宣之,たかはし,のぶゆき,63,社民,,新,0,比例,,
いのくち さちこ,154,群馬5区,,,猪口,幸子,いのくち,さちこ,61,希望,,新,0,比例,,
たけまさ こういち,155,埼玉1区,,,武正,公一,たけまさ,こういち,56,希望,,前,6,比例,,
こひやま きよと,156,埼玉1区,,,小檜山,清人,こひやま,きよと,60,維新,,新,0,比例,,
とば めぐみ,157,埼玉1区,,,鳥羽,恵,とば,めぐみ,58,共産,,新,0,,,
むらい ひでき,158,埼玉1区,,,村井,英樹,むらい,ひでき,37,自民,公明,前,2,比例,,
すが かつみ,159,埼玉2区,,,菅,克己,すが,かつみ,51,希望,,新,0,比例,,
ひらかわ みちや,160,埼玉2区,,,平川,道也,ひらかわ,みちや,45,共産,,新,0,,,
しんどう よしたか,161,埼玉2区,,,新藤,義孝,しんどう,よしたか,59,自民,公明,前,6,比例,,
いいだ たけし,162,埼玉3区,,,飯田,剛,いいだ,たけし,58,諸派,,新,0,,,
いしかわ ひでゆき,163,埼玉3区,,,石川,英行,いしかわ,ひでゆき,54,無所,,新,0,,,
みわ あさみ,164,埼玉3区,,,三輪,麻美,みわ,あさみ,30,希望,,新,0,比例,,
きかわだ ひとし,165,埼玉3区,,,黄川田,仁志,きかわだ,ひとし,47,自民,公明,前,2,比例,,
やまかわ ゆりこ,166,埼玉3区,,,山川,百合子,やまかわ,ゆりこ,48,立憲,,新,0,比例,,
やこう かんじ,167,埼玉3区,,,谷古宇,勘司,やこう,かんじ,66,維新,,新,0,比例,,
あさか ひでよし,168,埼玉4区,,,朝賀,英義,あさか,ひでよし,67,共産,,新,0,,,
あおやぎ ひとし,169,埼玉4区,,,青柳,仁士,あおやぎ,ひとし,38,維新,,新,0,比例,,
よしだ よしのり,170,埼玉4区,,,吉田,芳朝,よしだ,よしのり,43,希望,,新,0,比例,,
とよた まゆこ,171,埼玉4区,,,豊田,真由子,とよた,まゆこ,43,無所,,前,2,,,
ほさか やすし,172,埼玉4区,,,穂坂,泰,ほさか,やすし,43,自民,公明,新,0,比例,,
まきはら ひでき,173,埼玉5区,,,牧原,秀樹,まきはら,ひでき,46,自民,公明,前,3,比例,,
えだの ゆきお,174,埼玉5区,,,枝野,幸男,えだの,ゆきお,53,立憲,,前,8,比例,,
たかぎ ひでふみ,175,埼玉5区,,,高木,秀文,たかぎ,ひでふみ,44,希望,維新,新,0,比例,,
おおしま あつし,176,埼玉6区,,,大島,敦,おおしま,あつし,60,希望,,前,6,比例,,
なかね かずゆき,177,埼玉6区,,,中根,一幸,なかね,かずゆき,48,自民,公明,前,3,比例,,
とぐち さいち,178,埼玉6区,,,戸口,佐一,とぐち,さいち,67,共産,,新,0,,,
ながぬま ちね,179,埼玉7区,,,長沼,チネ,ながぬま,ちね,67,共産,,新,0,,,
こみやま やすこ,180,埼玉7区,,,小宮山,泰子,こみやま,やすこ,52,希望,,前,5,比例,,
かみやま さいち,181,埼玉7区,,,神山,佐市,かみやま,さいち,63,自民,公明,前,2,比例,,
つじ もとみ,182,埼玉8区,,,辻,源巳,つじ,もとみ,46,共産,,新,0,,,
おのづか まさとし,183,埼玉8区,,,小野塚,勝俊,おのづか,まさとし,45,希望,,元,1,比例,,
しばやま まさひこ,184,埼玉8区,,,柴山,昌彦,しばやま,まさひこ,51,自民,公明,前,5,比例,,
かんだ みはる,185,埼玉9区,,,神田,三春,かんだ,みはる,63,共産,,新,0,,,
おおつか たく,186,埼玉9区,,,大塚,拓,おおつか,たく,44,自民,公明,前,3,比例,,
すぎむら しんじ,187,埼玉9区,,,杉村,慎治,すぎむら,しんじ,41,希望,,新,0,比例,,
かきぬま はるき,188,埼玉10区,,,柿沼,遥輝,かきぬま,はるき,34,共産,,新,0,,,
さかもと ゆうのすけ,189,埼玉10区,,,坂本,祐之輔,さかもと,ゆうのすけ,62,希望,,前,2,比例,,
やまぐち たいめい,190,埼玉10区,,,山口,泰明,やまぐち,たいめい,68,自民,公明,前,6,比例,,
しばおか ゆうま,191,埼玉11区,,,柴岡,祐真,しばおか,ゆうま,33,共産,,新,0,,,
こんの ともひろ,192,埼玉11区,,,今野,智博,こんの,ともひろ,42,無所,自民,前,2,,,
みすみ そうた,193,埼玉11区,,,三角,創太,みすみ,そうた,29,希望,,新,0,比例,,
こいずみ りゅうじ,194,埼玉11区,,,小泉,龍司,こいずみ,りゅうじ,65,無所,,前,5,,,
もりた としかず,195,埼玉12区,,,森田,俊和,もりた,としかず,43,希望,,新,0,比例,,
はやし ひでひろ,196,埼玉12区,,,林,秀洋,はやし,ひでひろ,43,共産,,新,0,,,
のなか あつし,197,埼玉12区,,,野中,厚,のなか,あつし,40,自民,公明,前,2,比例,,
きたずみ よしゆき,198,埼玉13区,,,北角,嘉幸,きたずみ,よしゆき,54,希望,,新,0,比例,,
つちや しなこ,199,埼玉13区,,,土屋,品子,つちや,しなこ,65,自民,公明,前,6,比例,,
いけだ まさよ,200,埼玉13区,,,池田,万佐代,いけだ,まさよ,58,社民,,新,0,比例,,
はたの ひろし,201,埼玉14区,,,榛野,博,はたの,ひろし,47,維新,,新,0,比例,,
なえむら きょうこ,202,埼玉14区,,,苗村,京子,なえむら,きょうこ,58,共産,,新,0,,,
すずき よしひろ,203,埼玉14区,,,鈴木,義弘,すずき,よしひろ,54,希望,,前,2,比例,,
みつばやし ひろみ,204,埼玉14区,,,三ツ林,裕巳,みつばやし,ひろみ,62,自民,公明,前,2,比例,,
たなか りょうせい,205,埼玉15区,,,田中,良生,たなか,りょうせい,53,自民,公明,前,3,比例,,
うめむら さえこ,206,埼玉15区,,,梅村,早江子,うめむら,さえこ,53,共産,,前,1,比例,,
たかはし ひであき,207,埼玉15区,,,高橋,英明,たかはし,ひであき,54,維新,,新,0,比例,,
たかやま さとし,208,埼玉15区,,,高山,智司,たかやま,さとし,47,希望,,元,3,比例,,
たじま かなめ,209,千葉1区,,,田嶋,要,たじま,かなめ,56,希望,,前,5,比例,,
かどやま ひろあき,210,千葉1区,,,門山,宏哲,かどやま,ひろあき,53,自民,公明,前,2,比例,,
おおの たかし,211,千葉1区,,,大野,隆,おおの,たかし,48,共産,,新,0,,,
はせがわ ゆたか,212,千葉1区,,,長谷川,豊,はせがわ,ゆたか,42,維新,,新,0,比例,,
ふじまき けんた,213,千葉2区,,,藤巻,健太,ふじまき,けんた,34,維新,,新,0,比例,,
うえの ひろつぐ,214,千葉2区,,,上野,洋嗣,うえの,ひろつぐ,40,共産,,新,0,,,
ひぐち ひろやす,215,千葉2区,,,樋口,博康,ひぐち,ひろやす,58,立憲,,新,0,比例,,
たけがはら ゆみこ,216,千葉2区,,,竹ケ原,裕美子,たけがはら,ゆみこ,46,希望,,新,0,比例,,
こばやし たかゆき,217,千葉2区,,,小林,鷹之,こばやし,たかゆき,42,自民,公明,前,2,比例,,
まつの ひろかず,218,千葉3区,,,松野,博一,まつの,ひろかず,55,自民,公明,前,6,比例,,
おかじま かずまさ,219,千葉3区,,,岡島,一正,おかじま,かずまさ,59,立憲,,元,2,比例,,
くしぶち まり,220,千葉3区,,,櫛渕,万里,くしぶち,まり,50,希望,,元,1,比例,,
ふかつ としろう,221,千葉4区,,,深津,俊郎,ふかつ,としろう,69,共産,,新,0,,,
のだ よしひこ,222,千葉4区,,,野田,佳彦,のだ,よしひこ,60,無所,,前,7,,,
きむら てつや,223,千葉4区,,,木村,哲也,きむら,てつや,48,自民,公明,新,0,比例,,
さとう ひろし,224,千葉4区,,,佐藤,浩,さとう,ひろし,52,維新,,新,0,比例,,
そのうら けんたろう,225,千葉5区,,,薗浦,健太郎,そのうら,けんたろう,45,自民,公明,前,3,比例,,
やまだ あつし,226,千葉5区,,,山田,厚史,やまだ,あつし,69,立憲,,新,0,比例,,
おかの じゅんこ,227,千葉5区,,,岡野,純子,おかの,じゅんこ,39,希望,,新,0,比例,,
えんどう のぶひこ,228,千葉6区,,,遠藤,宣彦,えんどう,のぶひこ,54,希望,,元,1,比例,,
うぶかた ゆきお,229,千葉6区,,,生方,幸夫,うぶかた,ゆきお,69,立憲,,元,5,比例,,
わたなべ ひろみち,230,千葉6区,,,渡辺,博道,わたなべ,ひろみち,67,自民,公明,前,6,比例,,
ほし けんたろう,231,千葉6区,,,星,健太郎,ほし,けんたろう,37,維新,,新,0,比例,,
わたなべ たかお,232,千葉7区,,,渡部,隆夫,わたなべ,たかお,74,共産,,新,0,,,
さいとう けん,233,千葉7区,,,斎藤,健,さいとう,けん,58,自民,公明,前,3,比例,,
いしづか さだみち,234,千葉7区,,,石塚,貞通,いしづか,さだみち,50,立憲,,新,0,比例,,
はたの りな,235,千葉7区,,,波多野,里奈,はたの,りな,44,希望,,新,0,比例,,
さくらだ よしたか,236,千葉8区,,,桜田,義孝,さくらだ,よしたか,67,自民,公明,前,6,比例,,
おのざと ていりょう,237,千葉8区,,,小野里,定良,おのざと,ていりょう,70,共産,,新,0,,,
おおた かずみ,238,千葉8区,,,太田,和美,おおた,かずみ,38,希望,,前,3,比例,,
あきもと まさとし,239,千葉9区,,,秋本,真利,あきもと,まさとし,42,自民,公明,前,2,比例,,
かもしだ やすしろ,240,千葉9区,,,鴨志田,安代,かもしだ,やすしろ,62,共産,,新,0,,,
おくの そういちろう,241,千葉9区,,,奥野,総一郎,おくの,そういちろう,53,希望,,前,3,比例,,
はやし もとお,242,千葉10区,,,林,幹雄,はやし,もとお,70,自民,公明,前,8,比例,,
かさはら まさみ,243,千葉10区,,,笠原,正実,かさはら,まさみ,63,共産,,新,0,,,
やたがわ はじめ,244,千葉10区,,,谷田川,元,やたがわ,はじめ,54,希望,,元,1,比例,,
たがや りょう,245,千葉11区,,,多ケ谷,亮,たがや,りょう,48,希望,,新,0,比例,,
もり えいすけ,246,千葉11区,,,森,英介,もり,えいすけ,69,自民,公明,前,9,比例,,
しいな ふみあき,247,千葉11区,,,椎名,史明,しいな,ふみあき,60,共産,,新,0,,,
おおにし わたる,248,千葉12区,,,大西,航,おおにし,わたる,36,共産,,新,0,比例,,
はまだ やすかず,249,千葉12区,,,浜田,靖一,はまだ,やすかず,62,自民,公明,前,8,比例,,
ひだか たけし,250,千葉12区,,,樋高,剛,ひだか,たけし,51,希望,,元,3,比例,,
みながわ しんいちろう,251,千葉12区,,,皆川,真一郎,みながわ,しんいちろう,63,社民,,新,0,比例,,
みやかわ しん,252,千葉13区,,,宮川,伸,みやかわ,しん,47,立憲,,新,0,比例,,
さいとう かずこ,253,千葉13区,,,斉藤,和子,さいとう,かずこ,43,共産,,前,1,比例,,
しらすか たかき,254,千葉13区,,,白須賀,貴樹,しらすか,たかき,42,自民,公明,前,2,比例,,
みずの ともひこ,255,千葉13区,,,水野,智彦,みずの,ともひこ,61,希望,,元,1,比例,,
まつざわ かおる,256,東京1区,,,松沢,香,まつざわ,かおる,39,希望,,新,0,比例,,
はらぐち みき,257,東京1区,,,原口,実季,はらぐち,みき,28,諸派,,新,0,,,
やまだ みき,258,東京1区,,,山田,美樹,やまだ,みき,43,自民,公明,前,2,比例,,
またよし みつお,259,東京1区,,,又吉,光雄,またよし,みつお,73,諸派,,新,0,,,
かいえだ ばんり,260,東京1区,,,海江田,万里,かいえだ,ばんり,68,立憲,,元,6,比例,,
いぬまる みつか,261,東京1区,,,犬丸,光加,いぬまる,みつか,57,諸派,,新,0,,,
つじ きよと,262,東京2区,,,辻,清人,つじ,きよと,38,自民,公明,前,2,比例,,
まつお あきひろ,263,東京2区,,,松尾,明弘,まつお,あきひろ,42,立憲,,新,0,比例,,
はとやま たろう,264,東京2区,,,鳩山,太郎,はとやま,たろう,43,希望,,新,0,比例,,
こうざい かつすけ,265,東京3区,,,香西,克介,こうざい,かつすけ,41,共産,,新,0,,,
いしはら ひろたか,266,東京3区,,,石原,宏高,いしはら,ひろたか,53,自民,公明,前,3,比例,,
まつばら じん,267,東京3区,,,松原,仁,まつばら,じん,61,希望,,前,6,比例,,
いど まさえ,268,東京4区,,,井戸,正枝,いど,まさえ,51,立憲,,元,1,比例,,
たいら まさあき,269,東京4区,,,平,将明,たいら,まさあき,50,自民,公明,前,4,比例,,
