Wikidata ID,name,,,,name in hiragana,party short name,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,,,,,
Q11550863,江崎孝,,江崎,孝,えさき たかし,民進,,,比例,,男性,1956-08-11,61,,,etakashi,-,https://www.facebook.com/esakitakashi/,,,,http://esakitakashi.net/,,,,柳川市,,,,,,,,,,,,,,https://twitter.com/etakashi,https://www.facebook.com/takashi.esaki,http://esakitakashi.net
Q27150792,小川克巳,,小川,克巳,おがわ かつみ,自民,,,比例,,男性,1951-08-31,66,,,-,-,https://www.facebook.com/ogawakatsu3/,,,,http://ogawa-katsumi.com/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/ogawakatsu3/,http://ogawa-katsumi.com
Q1148765,小川勝也,,小川,勝也,おがわ かつや,民進,,,,北海道,男性,1963-07-07,54,,,katsusikanai,-,https://www.facebook.com/ogawakatsuya/,,,,http://www.ogawa-k.net/,,,,北海道,,,,,,,,,,,,,,https://twitter.com/katsusikanai,https://www.facebook.com/katsusikanai,
Q962110,小川敏夫,,小川,敏夫,おがわ としお,民進,,,,東京,男性,1948-03-18,69,,,OgawaToshioMP,-,https://www.facebook.com/ogawatoshioMP/,,,,http://www.ogawatoshio.com/,,,,練馬区,,,,,,,,,,,,,,https://twitter.com/OgawaToshioMP,https://www.facebook.com/小川敏夫-716328245145629/,http://www.ogawatoshio.com/
Q25939253,小野田紀美,,小野田,紀美,おのだ きみ,自民,,,,岡山,女性,1982-12-07,34,,,onoda_kimi,-,https://www.facebook.com/OnodaKimi.Okayama/,,,,http://onodakimi.com/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/OnodaKimi.Okayama/,http://onodakimi.com
Q5752333,尾辻秀久,,尾辻,秀久,おつじ ひでひさ,自民,,,,鹿児島,男性,1940-10-02,77,,,-,-,https://www.facebook.com/%E3%81%8A%E3%81%A4%E3%81%98%E7%A7%80%E4%B9%85-157996004367209/,,,,http://www.otsuji.gr.jp/,,,,,,,,,,,,,,,,,,,,
Q16264815,大沼みずほ,亀瑞穂,大沼,みずほ,おおぬま みずほ,自民,,,,山形,女性,1979-01-08,38,,,MizuhoOnuma,-,https://www.facebook.com/onuma.mizuho/,,,,https://mizuho-onuma.jp/,,,,,,,,,,,,,,,,,,,,
Q337446,太田房江,齊藤房江,太田,房江,おおた ふさえ,自民,,,比例,,女性,1951-06-26,66,,,-,-,https://www.facebook.com/otafusaefunsite/,,,,http://osaka-fus.com/,,https://ameblo.jp/ota-fusae/,,,,,,,,,,,,,,,,,http://www.facebook.com/oota.fusae,
Q6964565,岡田直樹,,岡田,直樹,おかだ なおき,自民,,,,石川,男性,1962-06-09,55,,,okada_naoki,-,https://www.facebook.com/naokiokada.ishikawa/,,,,http://www.okada-naoki.net/,,,,金沢市,,,,,,,,,,,,,,,,http://okada-naoki.net
Q1393400,岡田広,,岡田,広,おかだ ひろし,自民,,,,茨城,男性,1947-01-31,70,,,-,-,https://www.facebook.com/okadahiroshi.ibaraki/,,,,http://www.okada-hiroshi.com/,,https://ameblo.jp/okadahiroshi/,,水戸市,,,,,,,,,,,,,,,,http://www.okada-hiroshi.com
Q6964552,風間直樹,,風間,直樹,かざま なおき,民進,,,,新潟,男性,1966-10-22,51,,,-,-,https://www.facebook.com/kazamanaoki/,,,,http://www.kazamanaoki.com/,,,,,,,,,,,,,,,,,,,https://ja-jp.facebook.com/kazamanaoki,
Q26044301,片山大介,,片山,大介,かたやま だいすけ,維新,,,,兵庫,男性,1966-10-06,51,,,katayamayusuke,-,https://www.facebook.com/katayamadaisuke106/,,,,http://katayama-daisuke.com/,,,,,,,,,,,,,,,,,,https://twitter.com/katayamayusuke,https://www.facebook.com/katayamadaisuke106/,http://katayama-daisuke.com/
Q188095,片山虎之助,,片山,虎之助,かたやま とらのすけ,維新,,,比例,,男性,1935-08-02,82,,,katayama1122,-,https://www.facebook.com/katayamatoranosuke/,,,,http://www.toranosuke.net/index.html,,,,,,,,,,,,,,,,,,https://twitter.com/katayama1122,https://www.facebook.com/ishin.katayama,http://www.toranosuke.net/index.html
Q26043933,木戸口英司,,木戸口,英司,きどぐち えいじ,希望,,,,岩手,男性,1963-08-21,54,,,ekidoguchi,-,-,,,,https://e-kidoguchi.net/,,,,,,,,,,,,,,,,,,https://twitter.com/ekidoguchi,,
Q26043959,熊野正士,,熊野,正士,くまの せいし,公明,,,比例,,男性,1965-04-19,52,,,kumanoseishi,-,https://www.facebook.com/seishi.kumano/,,,,https://www.kumano-seishi.com/,,,,,,,,,,,,,,,,,,https://twitter.com/kumanoseishi,https://www.facebook.com/seishi.kumano,https://www.kumano-seishi.com/
Q418771,小池晃,,小池,晃,こいけ あきら,共産,,,比例,,男性,1960-06-09,57,,,koike_akira,-,-,,,,http://www.a-koike.gr.jp,,,,世田谷区,,,,,,,,,,,,,,https://twitter.com/koike_akira,http://www.facebook.com/koikeakira,
Q6138461,小林正夫,,小林,正夫,こばやし まさお,民進,,,比例,,男性,1947-05-11,70,,,-,-,https://www.facebook.com/%E5%8F%82%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-%E5%B0%8F%E6%9E%97%E6%AD%A3%E5%A4%AB-1481395875514681/,,,,http://www.kobayashimasao.jp/index_p.html,,,,東京都,,,,,,,,,,,,,,,,http://www.kobayashimasao.jp/
Q17157982,古賀友一郎,,古賀,友一郎,こが ゆういちろう,自民,,,,長崎,男性,1967-11-02,49,,,-,-,https://www.facebook.com/%E5%8F%A4%E8%B3%80%E5%8F%8B%E4%B8%80%E9%83%8E%E5%BE%8C%E6%8F%B4%E4%BC%9A-156351827877680/,,,,http://www.koga-yuichiro.jp/,,,,,,,,,,,,,,,,,,,http://www.facebook.com/pages/%E5%8F%A4%E8%B3%80%E5%8F%8B%E4%B8%80%E9%83%8E%E5%BE%8C%E6%8F%B4%E4%BC%9A/156351827877680,
Q6444691,行田邦子,山崎邦子,行田,邦子,こうだ くにこ,無ク,,,,埼玉,女性,1965-09-08,52,,,koudakuni,-,https://www.facebook.com/%E3%81%93%E3%81%86%E3%81%A0%E9%82%A6%E5%AD%90%E5%8F%82%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-%E8%A1%8C%E7%94%B0%E9%82%A6%E5%AD%90-440919229293263/,,,,http://kouda-kuniko.com/,,,,遠野市,,,,,,,,,,,,,,https://twitter.com/koudakuni,https://www.facebook.com/pages/%E3%81%93%E3%81%86%E3%81%A0%E9%82%A6%E5%AD%90%E5%8F%82%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-%E8%A1%8C%E7%94%B0%E9%82%A6%E5%AD%90/440919229293263,
Q17158850,佐々木さやか,山口さやか,佐々木,さやか,ささき さやか,公明,,,,神奈川,女性,1981-01-18,36,,,sayaka_sasaki,-,https://www.facebook.com/sayaka.sasaki.jp/,,,,https://sasaki-sayaka.com/,,,,,,,,,,,,,,,,,,https://twitter.com/sayaka_sasaki,https://www.facebook.com/sayaka.sasaki.jp,
Q7046121,佐藤信秋,,佐藤,信秋,さとう のぶあき,自民,,,比例,,男性,1947-11-08,69,,,-,-,-,,,,http://www.sato-nobuaki.jp/,,,,,,,,,,,,,,,,,,,,
Q17158633,酒井庸行,,酒井,庸行,さかい やすゆき,自民,,,,愛知,男性,1952-02-14,65,,,yasuyukisakai,-,https://www.facebook.com/yasuyukisakai06/,,,,http://www.sakai-yasuyuki.com/,,,,,,,,,,,,,,,,,,https://twitter.com/YasuyukiSakai,http://www.facebook.com/sakai.yasuyuki.98,
Q939558,櫻井充,,櫻井,充,さくらい みつる,民進,,,,宮城,男性,1956-05-12,61,,,DrSakurai,-,https://www.facebook.com/drsakuraimitsuru/,,,,http://www.dr-sakurai.jp/,,,,仙台市,,,,,,,,,,,,,,,,
Q26045720,里見隆治,,里見,隆治,さとみ りゅうじ,公明,,,,愛知,男性,1967-10-17,50,,,satomi_ryuji,-,https://www.facebook.com/satomi.komei/,,,,http://satomi-ryuji.com/,,,,,,,,,,,,,,,,,,https://twitter.com/satomi_ryuji,https://www.facebook.com/satomi.komei,http://satomi-ryuji.com/
Q11490337,徳永エリ,鈴木エリ,徳永,エリ,とくなが えり,民進,,,,北海道,女性,1962-01-01,55,,,eri_line,https://www.facebook.com/eri.tokunaga.79,-,,,,http://tokunaga-eri.jp/,,,,札幌市,,,,,,,,,,,,,,https://twitter.com/eri_line,https://www.facebook.com/eri.tokunaga.79,http://www.tokunaga-eri.jp/
Q7827658,古川俊治,,古川,俊治,ふるかわ としはる,自民,,,,埼玉,男性,1963-01-14,54,,,-,-,https://www.facebook.com/furukawatoshiharu,,,,https://www.toshiharu-furukawa.jp/,,,,埼玉県,,,,,,,,,,,,,,,https://www.facebook.com/furukawatoshiharu,
Q11516489,有村治子,,有村,治子,ありむら はるこ,自民,,,比例,,女性,1970-09-21,47,,,-,https://www.facebook.com/haruko.arimura,https://www.facebook.com/Arimurasupporter/,,,,http://www.arimura.tv/,,,,石川県,,,,,,,,,,,,,,,https://www.facebook.com/haruko.arimura,
Q5517693,長谷川岳,,長谷川,岳,はせがわ がく,自民,,,,北海道,男性,1971-02-16,46,,,gaku_hasegawa,-,https://www.facebook.com/hasegawagaku,,,,http://www.hasegawagaku.jp/,,,,春日井市,,,,,,,,,,,,,,https://twitter.com/gaku_hasegawa,https://ja-jp.facebook.com/hasegawagaku,http://www.hasegawagaku.jp/
Q1620315,長浜博行,,長浜,博行,ながはま ひろゆき,民進,,,,千葉,男性,1958-10-20,59,,,nagahama1020,https://www.facebook.com/hhnagahama,-,,,,http://www.nagahamahiroyuki.com/,,,,墨田区,,,,,,,,,,,,,,https://twitter.com/nagahama1020,http://www.facebook.com/hhnagahama,
Q5770121,牧山ひろえ,牧山弘惠,牧山,ひろえ,まきやま ひろえ,民進,,,,神奈川,女性,1964-09-29,53,,,makiyama1192,https://www.facebook.com/hiroe.makiyama,-,,,,http://www.makiyama-hiroe.jp/,,,,東京都,,,,,,,,,,,,,,,,
Q5770562,吉田博美,,吉田,博美,よしだ ひろみ,自民,,,,長野,男性,1949-06-17,68,,,-,-,https://www.facebook.com/hiromiyoshida617,,,,http://www.yoshida-hiromi.com/,,,,山口県,,,,,,,,,,,,,,,https://www.facebook.com/hiromiyoshida617,
Q11585080,石井苗子,,石井,苗子,いしい みつこ,維新,,,比例,,女性,1954-02-25,63,,,ishii_ishin,https://www.facebook.com/141mitsuko,-,,,,http://ishiimitsuko.com/,,,,,,,,,,,,,,,,,,https://twitter.com/mitsukoishii,https://www.facebook.com/mitsukoishii225,http://www.ishiimitsuko.net
Q6782249,赤池誠章,,赤池,誠章,あかいけ まさあき,自民,,,比例,,男性,1961-07-19,56,,,-,https://www.facebook.com/akaike.masaaki,-,,https://www.youtube.com/user/ma196110?feature=mhee,,https://www.akaike.com/,,,,山梨県甲府市,明治大学政治経済学部政治学科,,,,,,,,,,,,,,http://www.facebook.com/akaike.masaaki/,
Q45207,猪木寛至,アントニオ猪木,猪木,寛至,いのき かんじ,無ク,,,比例,,男性,1943-02-20,74,,,Inoki_Kanji,https://www.facebook.com/antonioinoki220,https://www.facebook.com/antonioinoki123/,,,,-,,,,横浜市,,,,,,,,,,,,,,,,
Q7446701,衛藤晟一,,衛藤,晟一,えとう せいいち,自民,,,比例,,男性,1947-10-01,70,,,etoseiichi,https://www.facebook.com/etoseiichi,https://www.facebook.com/seiichi.eto.office/,,,,http://www.eto-seiichi.jp/,,http://www.eto-seiichi.jp/blog/,,大分市,,,,,,,,,,,,,,https://twitter.com/etoseiichi,http://www.facebook.com/etoseiichi,
Q11387640,儀間光男,,儀間,光男,ぎま みつお,維新,,,比例,,男性,1943-07-24,74,,,-,https://www.facebook.com/gimamitsuo,-,,,,-,,,,,,,,,,,,,,,,,,https://twitter.com/gima_mitsuo,https://www.facebook.com/profile.php?id=100006114934927,
Q418691,郡司彰,,郡司,彰,ぐんじ あきら,無所属,,,,茨城,男性,1949-12-11,67,,,-,https://www.facebook.com/gunji.akira.book,-,,,,https://www.gunji-akira.com/,,,,水戸市,,,,,,,,,,,,,,,,http://www.gunji-akira.com
Q11585722,石川博崇,,石川,博崇,いしかわ ひろたか,公明,,,,大阪,男性,1973-09-12,44,,,Hiro_Ishikawa,https://www.facebook.com/hirotaka.ishikawa2,https://www.facebook.com/%E7%9F%B3%E5%B7%9D-%E3%81%B2%E3%82%8D%E3%81%9F%E3%81%8B-363342220408879/,,,,https://www.hiro-ishikawa.net/,,,,,,,,,,,,,,,,,,,,http://www.hiro-ishikawa.net
Q11557153,浅田均,,浅田,均,あさだ ひとし,維新,,,,大阪,男性,1950-12-29,66,,,asalogue,https://www.facebook.com/hitoshi.asada.10,https://www.facebook.com/asadahitoshi/,,,,http://asd2a.com/,,,,,京都大学哲学科,,,,,,,,,,,,,https://twitter.com/asalogue,https://www.facebook.com/asadahitoshi/,http://asd2a.com/
Q11586712,石橋通宏,,石橋,通宏,いしばし みちひろ,民進,,,比例,,男性,1965-07-01,52,,,ishibashi2010,https://www.facebook.com/ishibashi3716,https://www.facebook.com/i484.jp,,,,http://www.i484.jp/,,,,安来市,,,,,,,,,,,,,,https://twitter.com/ishibashi2010,https://www.facebook.com/i.michihiro/,http://www.i484.jp/
Q11585059,石井章,,石井,章,いしい あきら,維新,,,比例,,男性,1957-05-06,60,,,ishiiakiraishin,https://www.facebook.com/ishiiakiraishin,https://www.facebook.com/ishinakira/,,,,http://ishiiakira.com/,,https://ameblo.jp/akiraishii/,,,,,,,,,,,,,,,,,http://www.facebook.com/ishiiakiraishin,http://ishiiakira.com
Q8062680,礒崎陽輔,,礒崎,陽輔,いそざき ようすけ,自民,,,,大分,男性,1957-10-09,60,,,isozaki_yousuke,https://www.facebook.com/isozaki.y,-,,,,http://isozaki-office.jp/,,,,大分市,,,,,,,,,,,,,,https://twitter.com/isozaki_yousuke,http://facebook.com/isozaki.y,
Q11474082,岩井茂樹,,岩井,茂樹,いわい しげき,自民,,,,静岡,男性,1968-06-02,49,,,-,https://www.facebook.com/iwai.official,-,,,,http://101prj.com/,,http://iwais.cocolog-nifty.com/hasiru/,,,,,,,,,,,,,,,,,https://www.facebook.com/shigeki.iwai.108,http://www.iwais.com/
Q529313,神本美恵子,,神本,美恵子,かみもと みえこ,民進,,,比例,,女性,1948-01-22,69,,,MiekoKamimoto,https://www.facebook.com/kamimoto.mieko,https://www.facebook.com/mieko.kamimoto/,,https://www.youtube.com/user/kamimotomieko,,http://www.kamimoto-mieko.net/,,,,朝倉郡,,,,,,,,,,,,,,https://twitter.com/MiekoKamimoto,http://www.facebook.com/kamimoto.mieko,
Q7677198,川合孝典,,川合,孝典,かわい たかのり,民進,,,比例,,男性,1964-01-29,53,,,-,https://www.facebook.com/kawaijimusyo,https://www.facebook.com/%E3%81%8B%E3%82%8F%E3%81%84-%E3%81%9F%E3%81%8B%E3%81%AE%E3%82%8A-405467872952405/,,,,http://kawai-takanori.jp/,,,,北区,,,,,,,,,,,,,,,,http://kawai-takanori.jp
Q28682073,佐藤啓,,佐藤,啓,さとう けい,自民,,,,奈良,男性,1979-04-07,38,,,-,https://www.facebook.com/kei.sato.jp,https://www.facebook.com/sato.kei.jp/,,,,http://sato-kei.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/sato.kei.jp/,http://sato-kei.jp/
Q6383680,糸数慶子,,糸数,慶子,いとかず けいこ,沖縄,,,,沖縄,女性,1947-10-11,70,,,keikoitokazu,https://www.facebook.com/keiko.itokazu,-,,,,http://www.itokazukeiko.com/,,,,読谷村,,,,,,,,,,,,,,https://twitter.com/keikoitokazu,http://www.facebook.com/keiko.itokazu,
Q6391997,朝日健太郎,,朝日,健太郎,あさひ けんたろう,自民,,,,東京,男性,1975-09-19,42,,,kentaroasahi,https://www.facebook.com/kentaro.asahi.3,https://www.facebook.com/kentaro.asahi/,,,,http://asahikentaro.tokyo/,,,,,,,,,,,,,,,,,,https://twitter.com/kentaroasahi,https://www.facebook.com/kentaro.asahi.3,https://asahi.tokyo.jp/
Q8056232,木村義雄,,木村,義雄,きむら よしお,自民,,,比例,,男性,1948-04-17,69,,,kimurayoshio_,https://www.facebook.com/kimuyoshinet,https://www.facebook.com/kimurayoshionet/,,,,http://kimuyoshi.net/,,,,,,,,,,,,,,,,,,https://twitter.com/kimurayoshio_,http://www.facebook.com/kimuyoshinet,
Q11550848,江島潔,,江島,潔,えじま きよし,自民,,,,山口,男性,1957-04-02,60,,,agp1957,https://www.facebook.com/kiyoshi.ejima,https://www.facebook.com/%E6%B1%9F%E5%B3%B6-%E6%BD%94-%E5%8F%82%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1%E4%BA%8B%E5%8B%99%E6%89%80-562447180537265/,,,,http://kiyoshi-ejima.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/kiyoshi.ejima,http://www.kiyoshi-ejima.jp
Q11595863,秋野公造,,秋野,公造,あきの こうぞう,公明,,,比例,,男性,1967-07-11,50,,,akinokozo,https://www.facebook.com/kozo.akino,-,,https://www.youtube.com/watch?v=16nkciJFnhQ,,http://akino-kozo.com/,,http://blog.goo.ne.jp/akinokozo,,,長崎大学大学院,,,,,,,,,,,,,https://twitter.com/akinokozo,https://www.facebook.com/akinokozo.official,http://blog.goo.ne.jp/akinokozo
Q11434840,大島九州男,,大島,九州男,おおしま くすお,民進,,,比例,,男性,1961-06-11,56,,,kusuo_ooshima02,https://www.facebook.com/kusuo.oshima,-,,,,http://kusuo-o.net/,,,,,,,,,,,,,,,,,,https://twitter.com/kusuo_ooshima02,http://www.facebook.com/kusuo.oshima,
