db,qname,area
codefor,Q11545768,Q11454477
codefor,Q11546026,Q11564692
codefor,Q11546528,Q11564693
codefor,Q11546586,Q11403001
codefor,Q11547421,Q11547385
codefor,Q11551703,Q11547389
codefor,Q11552157,Q11547384
codefor,Q11553342,Q11484887
codefor,Q11554229,Q11547385
codefor,Q1155448,Q11547390
codefor,Q11556075,Q4778663
codefor,Q11558377,Q11547390
codefor,Q11560960,Q11547390
codefor,Q11561908,Q7105541
codefor,Q11562133,Q11406387
codefor,Q11562188,Q5878130
codefor,Q11566187,Q11547390
codefor,Q11566681,Q7496611
codefor,Q11568677,Q11494342
codefor,Q11570409,Q11589212
codefor,Q11572466,Q11552837
codefor,Q11572647,Q11667406
codefor,Q11576787,Q11617501
codefor,Q11577205,Q11456543
codefor,Q11577481,Q11445243
codefor,Q11578505,Q7570062
codefor,Q11580176,Q11493673
codefor,Q11580448,Q11406379
codefor,Q11585604,Q11503150
codefor,Q11585840,Q11547386
codefor,Q11589528,Q11426803
codefor,Q11589542,Q7570062
codefor,Q11590601,Q11547389
codefor,Q11592023,Q7496611
codefor,Q11593023,Q11547386
codefor,Q11597257,Q11547385
codefor,Q11598974,Q11547390
codefor,Q11602573,Q11609704
codefor,Q11603860,Q56855
codefor,Q11606064,Q11503151
codefor,Q11609955,Q7570062
codefor,Q1161024,Q11589211
codefor,Q11616618,Q7814046
codefor,Q11619136,Q11102990
codefor,Q11619261,Q49913
codefor,Q11622647,Q11592624
codefor,Q11622818,Q11393152
codefor,Q11623218,Q49913
codefor,Q11629931,Q11547385
codefor,Q11634137,Q11426798
codefor,Q11635735,Q7814046
codefor,Q11637002,Q11547390
codefor,Q11637774,Q11547386
codefor,Q11638274,Q7813811
codefor,Q11642258,Q11441209
codefor,Q11644760,Q11494337
codefor,Q11645002,Q11426788
codefor,Q11646016,Q11568327
codefor,Q11646177,Q6346640
codefor,Q11646784,Q11503156
codefor,Q11646784,Q49913
codefor,Q11647681,Q11595529
codefor,Q11648868,Q11468571
codefor,Q11649031,Q11547389
codefor,Q11649189,Q11547386
codefor,Q11651619,Q11494354
codefor,Q11651845,Q11547390
codefor,Q11652270,Q7034372
codefor,Q11654965,Q11547390
codefor,Q11661236,Q11547389
codefor,Q11661965,Q7570062
codefor,Q11667848,Q11441206
codefor,Q11668691,Q11547384
codefor,Q11670038,Q11403004
codefor,Q11671375,Q49913
codefor,Q11673487,Q11592616
codefor,Q11677736,Q7402528
codefor,Q11678114,Q11503154
codefor,Q1207174,Q11617503
codefor,Q122465,Q6360252
codefor,Q129149,Q11547389
codefor,Q130856,Q5878053
codefor,Q1315762,Q10959517
codefor,Q132280,Q6452102
codefor,Q132345,Q11467112
codefor,Q132596,Q5507680
codefor,Q1335527,Q7828499
codefor,Q1336805,Q7814046
codefor,Q1340817,Q11471573
codefor,Q1478311,Q5878130
codefor,Q15220933,Q11547384
codefor,Q16264927,Q11547386
codefor,Q1654408,Q11591498
codefor,Q1654639,Q11432909
codefor,Q1655220,Q11102981
codefor,Q1655453,Q11535303
codefor,Q1655755,Q11403000
codefor,Q1656878,Q11357847
codefor,Q1656896,Q11456545
codefor,Q16770033,Q11676838
codefor,Q1689655,Q11357843
codefor,Q1704924,Q11593328
codefor,Q1704969,Q11471577
codefor,Q1705028,Q6965225
codefor,Q17158474,Q11547386
codefor,Q17158549,Q11547387
codefor,Q17158714,Q11547386
codefor,Q17158871,Q6080258
codefor,Q17159494,Q11547389
codefor,Q17160031,Q5878130
codefor,Q17160872,Q11375291
codefor,Q17220479,Q11547385
codefor,Q17223599,Q11547389
codefor,Q1724004,Q11552836
codefor,Q1737905,Q11547386
codefor,Q1737907,Q11589219
codefor,Q1761759,Q11547385
codefor,Q18669603,Q7814046
codefor,Q18700742,Q11547386
codefor,Q18700919,Q7814046
codefor,Q18701018,Q11468573
codefor,Q18817349,Q11547384
codefor,Q18817567,Q7570062
codefor,Q18817650,Q11547389
codefor,Q18817798,Q11547385
codefor,Q18817877,Q11552839
codefor,Q18817972,Q5878130
codefor,Q18818065,Q11547387
codefor,Q18818101,Q11547390
codefor,Q18818124,Q11547385
codefor,Q18818128,Q49913
codefor,Q18818200,Q7814046
codefor,Q18818207,Q11441203
codefor,Q18818221,Q11547389
codefor,Q18818315,Q7496611
codefor,Q1906668,Q11357845
codefor,Q1949760,Q11494344
codefor,Q1995125,Q11467109
codefor,Q20039047,Q11547390
codefor,Q20039110,Q11547390
codefor,Q20039172,Q11547390
codefor,Q20039502,Q11547390
codefor,Q20039675,Q11547386
codefor,Q20040516,Q7570062
codefor,Q20040828,Q7814046
codefor,Q20041303,Q11547390
codefor,Q20041482,Q7570062
codefor,Q20041786,Q11547389
codefor,Q212400,Q11453780
codefor,Q21529384,Q11547390
codefor,Q21655809,Q49913
codefor,Q21655857,Q11547387
codefor,Q21703015,Q11547385
codefor,Q2484652,Q11476528
codefor,Q2506910,Q5618873
codefor,Q2576940,Q11384769
codefor,Q261703,Q7813802
codefor,Q263777,Q10343578
codefor,Q265174,Q376715
codefor,Q276275,Q11663236
codefor,Q30144920,Q11547384
codefor,Q3136350,Q11586035
codefor,Q337406,Q11525648
codefor,Q337507,Q7570062
codefor,Q337762,Q11676842
codefor,Q3435725,Q11535300
codefor,Q3482658,Q11474791
codefor,Q359480,Q11484884
codefor,Q360395,Q11493668
codefor,Q382231,Q11471576
codefor,Q382311,Q11467111
codefor,Q388496,Q11445240
codefor,Q405085,Q11472353
codefor,Q405527,Q11432908
codefor,Q405533,Q7105539
codefor,Q418119,Q11617507
codefor,Q418675,Q11589208
codefor,Q455848,Q11609705
codefor,Q457774,Q11568330
codefor,Q459698,Q11471571
codefor,Q459998,Q11474794
codefor,Q463331,Q6452111
codefor,Q467453,Q11472349
codefor,Q4700938,Q11453778
codefor,Q4700952,Q7814046
codefor,Q4701145,Q7814046
codefor,Q472792,Q11547385
codefor,Q47846,Q7814046
codefor,Q4803390,Q11592625
codefor,Q4817826,Q11426801
codefor,Q49875,Q49876
codefor,Q49936,Q49913
codefor,Q49943,Q49913
codefor,Q49949,Q11593333
codefor,Q49969,Q11453781
codefor,Q49988,Q11595531
codefor,Q49996,Q11453776
codefor,Q49998,Q11662288
codefor,Q49999,Q11662287
codefor,Q506730,Q10343508
codefor,Q5100105,Q11547387
codefor,Q5102671,Q49913
codefor,Q513317,Q6843509
codefor,Q516232,Q7570062
codefor,Q5209617,Q11589213
codefor,Q529792,Q11426795
codefor,Q5349200,Q11547387
codefor,Q548239,Q7398896
codefor,Q5508556,Q7814046
codefor,Q5517695,Q7081866
codefor,Q5530859,Q11672488
codefor,Q5533162,Q5618871
codefor,Q5637084,Q11589215
codefor,Q5639959,Q11535297
codefor,Q5680924,Q11525655
codefor,Q5752395,Q11547386
codefor,Q5752415,Q4696552
codefor,Q57647,Q5095299
codefor,Q5770152,Q11589225
codefor,Q5770251,Q11406383
codefor,Q5770815,Q11484886
codefor,Q5770884,Q5983712
codefor,Q5771003,Q11547385
codefor,Q582685,Q4696554
codefor,Q5986289,Q11654371
codefor,Q6088170,Q11547390
codefor,Q6140382,Q11547385
codefor,Q614464,Q11441205
codefor,Q614476,Q10343462
codefor,Q6203082,Q11589209
codefor,Q6311513,Q6360246
codefor,Q6314413,Q7496611
codefor,Q6360573,Q11406380
codefor,Q6378065,Q11525654
codefor,Q6378155,Q11472354
codefor,Q6381535,Q49913
codefor,Q6381615,Q6360240
codefor,Q6381645,Q11441207
codefor,Q6381788,Q11393148
codefor,Q6381814,Q11547386
codefor,Q6383605,Q11547384
codefor,Q6383646,Q11547390
codefor,Q6383690,Q11547386
codefor,Q6383909,Q11589224
codefor,Q6383911,Q11547384
codefor,Q6389276,Q11564691
codefor,Q6389323,Q11589223
codefor,Q6389383,Q11102988
codefor,Q6389412,Q5878130
codefor,Q6391984,Q11547390
codefor,Q6416606,Q11617509
codefor,Q6418998,Q11547385
codefor,Q6426211,Q11525660
codefor,Q6426239,Q11547386
codefor,Q6426240,Q11393154
codefor,Q6426244,Q11493674
codefor,Q6433881,Q11469742
codefor,Q6435116,Q11547386
codefor,Q6435368,Q11592612
codefor,Q653000,Q11494346
codefor,Q661410,Q6360245
codefor,Q6739516,Q11547387
codefor,Q6746574,Q11589221
codefor,Q6746585,Q49913
codefor,Q6782264,Q10343531
codefor,Q6782350,Q11426805
codefor,Q6782366,Q11547385
codefor,Q6782391,Q11547390
codefor,Q6782673,Q7570062
codefor,Q6782686,Q7813807
codefor,Q6782738,Q11417484
codefor,Q6782819,Q7813763
codefor,Q6837950,Q7814046
codefor,Q6837954,Q11547384
codefor,Q6842917,Q11525651
codefor,Q6864590,Q7570062
codefor,Q6869306,Q11484891
codefor,Q6883317,Q11547389
codefor,Q697258,Q5878048
codefor,Q697969,Q11467107
codefor,Q704345,Q11393145
codefor,Q7051265,Q7570062
codefor,Q7051315,Q11357849
codefor,Q7051352,Q7496611
codefor,Q729599,Q11375290
codefor,Q730991,Q11525650
codefor,Q732087,Q11426800
codefor,Q7385320,Q11674598
codefor,Q7385322,Q11426792
codefor,Q7385342,Q11592613
codefor,Q7446686,Q11652769
codefor,Q7446719,Q11493670
codefor,Q7446737,Q9498966
codefor,Q7446761,Q11552835
codefor,Q7477634,Q7570062
codefor,Q7496342,Q11441213
codefor,Q7496361,Q11586036
codefor,Q7496422,Q11654368
codefor,Q7496423,Q7570062
codefor,Q7497524,Q11494338
codefor,Q7497583,Q10971927
codefor,Q7497769,Q11445241
codefor,Q7497782,Q11453779
codefor,Q7504421,Q11663244
codefor,Q7504756,Q11503158
codefor,Q7504802,Q11432906
codefor,Q7505080,Q11489990
codefor,Q7505129,Q11654364
codefor,Q7674280,Q11494353
codefor,Q7676160,Q11426786
codefor,Q7677066,Q11403009
codefor,Q7677156,Q9498886
codefor,Q7677226,Q7813818
codefor,Q7677320,Q11547386
codefor,Q7677366,Q11441222
codefor,Q7677369,Q11654363
codefor,Q7677383,Q11441204
codefor,Q7678527,Q11454479
codefor,Q7678536,Q11426804
codefor,Q7678543,Q11547387
codefor,Q7678622,Q11667404
codefor,Q7705291,Q7496611
codefor,Q7706881,Q11494336
codefor,Q7706925,Q11568329
codefor,Q7706956,Q11547386
codefor,Q777936,Q11592623
codefor,Q7820173,Q11547390
codefor,Q7827415,Q11474793
codefor,Q7827620,Q8047616
codefor,Q7827692,Q11547384
codefor,Q784087,Q11547389
codefor,Q7850039,Q7814046
codefor,Q7850337,Q6958596
codefor,Q7850389,Q11591499
codefor,Q7862709,Q11453772
codefor,Q786752,Q11676837
codefor,Q7973013,Q11547389
codefor,Q8046971,Q251994
codefor,Q8049965,Q11441214
codefor,Q8049977,Q11617504
codefor,Q8049988,Q11676841
codefor,Q8050022,Q11547386
codefor,Q8050092,Q11568331
codefor,Q8050121,Q11393158
codefor,Q8050128,Q11547385
codefor,Q8054534,Q11471575
codefor,Q8055323,Q11547385
codefor,Q8055970,Q11592622
codefor,Q8056061,Q11393149
codefor,Q8056070,Q11454481
codefor,Q8056240,Q11547389
codefor,Q8056243,Q11663242
codefor,Q8056255,Q11547387
codefor,Q8056299,Q11593326
codefor,Q8060529,Q11672489
codefor,Q8060577,Q11441202
codefor,Q8062685,Q7814046
codefor,Q861808,Q11617508
codefor,Q9067667,Q11441212
codefor,Q923428,Q11547390
codefor,Q926287,Q11547384
codefor,Q926370,Q11406376
codefor,Q935199,Q11663246
codefor,Q978256,Q11547390
codefor,Q992930,Q7813822
